# x_m,y_m,z
-661.547414,-157.080388,-66.1547414
-666.501994,-156.446038,-66.6501994
-671.350239,-155.244595,-67.1350239
-676.007924,-153.441895,-67.6007924
-680.368576,-151.009635,-68.0368576
-684.297143,-147.929416,-68.4297143
-687.627613,-144.216442,-68.7627613
-690.19179,-139.942146,-69.019179
-691.9289,-135.264967,-69.19289
-692.898161,-130.367772,-69.2898161
-693.175623,-125.382526,-69.3175623
-692.823328,-120.400394,-69.2823328
-691.914921,-115.488417,-69.1914921
-690.526075,-110.690022,-69.0526075
-688.732732,-106.027212,-68.8732732
-686.609076,-101.504822,-68.6609076
-684.224225,-97.114339,-68.4224225
-681.63469,-92.841016,-68.163469
-678.88435,-88.669102,-67.888435
-676.013608,-84.579465,-67.6013608
-673.068567,-80.543199,-67.3068567
-670.099662,-76.524214,-67.0099662
-667.129572,-72.505925,-66.7129572
-664.161554,-68.48608,-66.4161554
-661.195537,-64.464762,-66.1195537
-658.231426,-60.442037,-65.8231426
-655.269132,-56.417975,-65.5269132
-652.308563,-52.392643,-65.2308563
-649.349626,-48.366111,-64.9349626
-646.39223,-44.338447,-64.639223
-643.436287,-40.309718,-64.3436287
-640.481697,-36.279995,-64.0481697
-637.528398,-32.249327,-63.7528398
-634.576419,-28.217692,-63.4576419
-631.625834,-24.185036,-63.1625834
-628.676718,-20.151306,-62.8676718
-625.729143,-16.116449,-62.5729143
-622.783183,-12.080413,-62.2783183
-619.838912,-8.043145,-61.9838912
-616.896403,-4.004592,-61.6896403
-613.95573,0.035298,-61.395573
-611.016968,4.076577,-61.1016968
-608.080189,8.119299,-60.8080189
-605.145252,12.163356,-60.5145252
-602.210077,16.207204,-60.2210077
-599.268032,20.246032,-59.9268032
-596.31166,24.274416,-59.631166
-593.334885,28.287781,-59.3334885
-590.331834,32.281525,-59.0331834
-587.296539,36.250809,-58.7296539
-584.223115,40.190636,-58.4223115
-581.105803,44.09582,-58.1105803
-577.938999,47.960969,-57.7938999
-574.717283,51.780454,-57.4717283
-571.435453,55.548392,-57.1435453
-568.088542,59.258633,-56.8088542
-564.671893,62.904726,-56.4671893
-561.181189,66.479943,-56.1181189
-557.611491,69.976298,-55.7611491
-553.956882,73.38378,-55.3956882
-550.211785,76.691491,-55.0211785
-546.371281,79.887911,-54.6371281
-542.431245,82.960846,-54.2431245
-538.388444,85.897114,-53.8388444
-534.241265,88.68395,-53.4241265
-529.991265,91.311468,-52.9991265
-525.641921,93.770994,-52.5641921
-521.197289,96.053703,-52.1197289
